k,n,metric,value,seqMode
2,27,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,27,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,28,"strongTree",72,"unary-cover-no-reassoc"
2,28,"cubicTree",55,"unary-cover-no-reassoc"
2,28,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,28,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,29,"strongTree",74,"unary-cover-no-reassoc"
2,29,"cubicTree",55,"unary-cover-no-reassoc"
2,29,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,29,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
2,30,"strongTree",72,"unary-cover-no-reassoc"
2,30,"cubicTree",55,"unary-cover-no-reassoc"
2,30,"sharedShapeStatePool",23,"unary-cover-no-reassoc"
2,30,"langContPruneShapeStatePool",8,"unary-cover-no-reassoc"
3,0,"strongTree",22,"unary-cover-no-reassoc"
3,0,"cubicTree",22,"unary-cover-no-reassoc"
3,0,"sharedShapeStatePool",12,"unary-cover-no-reassoc"
3,0,"langContPruneShapeStatePool",4,"unary-cover-no-reassoc"
3,1,"strongTree",49,"unary-cover-no-reassoc"
3,1,"cubicTree",50,"unary-cover-no-reassoc"
3,1,"sharedShapeStatePool",25,"unary-cover-no-reassoc"
3,1,"langContPruneShapeStatePool",11,"unary-cover-no-reassoc"
3,2,"strongTree",112,"unary-cover-no-reassoc"
3,2,"cubicTree",97,"unary-cover-no-reassoc"
3,2,"sharedShapeStatePool",30,"unary-cover-no-reassoc"
3,2,"langContPruneShapeStatePool",13,"unary-cover-no-reassoc"
3,3,"strongTree",133,"unary-cover-no-reassoc"
3,3,"cubicTree",143,"unary-cover-no-reassoc"
3,3,"sharedShapeStatePool",34,"unary-cover-no-reassoc"
3,3,"langContPruneShapeStatePool",14,"unary-cover-no-reassoc"
3,4,"strongTree",179,"unary-cover-no-reassoc"
3,4,"cubicTree",191,"unary-cover-no-reassoc"
3,4,"sharedShapeStatePool",38,"unary-cover-no-reassoc"
