k,n,metric,value,seqMode
5,72,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,72,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,72,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,72,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,72,"strongMemoStates",8612,"unary-cover-no-reassoc"
5,72,"strongMemoSplitProbes",70369,"unary-cover-no-reassoc"
5,72,"strongMemoSpanBound",245134,"unary-cover-no-reassoc"
5,72,"strongMemoSplitBound",17894782,"unary-cover-no-reassoc"
5,76,"strongMemoTree",947,"unary-cover-no-reassoc"
5,76,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,76,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,76,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,76,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,76,"strongMemoStates",9546,"unary-cover-no-reassoc"
5,76,"strongMemoSplitProbes",82233,"unary-cover-no-reassoc"
5,76,"strongMemoSpanBound",272734,"unary-cover-no-reassoc"
5,76,"strongMemoSplitBound",21000518,"unary-cover-no-reassoc"
5,80,"strongMemoTree",957,"unary-cover-no-reassoc"
5,80,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,80,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,80,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,80,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,80,"strongMemoStates",10528,"unary-cover-no-reassoc"
5,80,"strongMemoSplitProbes",95361,"unary-cover-no-reassoc"
5,80,"strongMemoSpanBound",301806,"unary-cover-no-reassoc"
5,80,"strongMemoSplitBound",24446286,"unary-cover-no-reassoc"
5,84,"strongMemoTree",959,"unary-cover-no-reassoc"
5,84,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,84,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,84,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,84,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,84,"strongMemoStates",11558,"unary-cover-no-reassoc"
5,84,"strongMemoSplitProbes",109817,"unary-cover-no-reassoc"
5,84,"strongMemoSpanBound",332350,"unary-cover-no-reassoc"
5,84,"strongMemoSplitBound",28249750,"unary-cover-no-reassoc"
5,88,"strongMemoTree",947,"unary-cover-no-reassoc"
5,88,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,88,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,88,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
