k,n,metric,value,seqMode
8,68,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,68,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,72,"strongTree",3241,"unary-cover-no-reassoc"
8,72,"strongMemoDag",136,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,72,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,76,"strongTree",3227,"unary-cover-no-reassoc"
8,76,"strongMemoDag",141,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,76,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,80,"strongTree",3233,"unary-cover-no-reassoc"
8,80,"strongMemoDag",133,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActiveMaxRowDag",61,"unary-cover-no-reassoc"
8,80,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
